S,siggma,diferenciasfinitas,blackscholes,ejerciciotempranodf,longstaff,ejerciciotempranols,dfls
81,0.2,19.1911,15.1084,4.08274,19.0779,3.96947,0.113269
95,0.2,9.89007,8.32509,1.56498,9.81592,1.49083,0.0741467
100,0.2,7.72318,6.61052,1.11266,7.80237,1.19185,-0.0791841
105,0.2,5.99926,5.20777,0.791493,5.99888,0.791117,0.00037606
119,0.2,2.88477,2.57893,0.305839,2.90643,0.327497,-0.0216577
81,0.4,26.3573,24.1913,2.16595,26.4945,2.30314,-0.137194
95,0.4,19.8029,18.4702,1.33271,19.9938,1.52365,-0.190936
100,0.4,17.882,16.774,1.10797,17.9956,1.22161,-0.113643
105,0.4,16.1444,15.2365,0.907952,16.1891,0.952596,-0.0446441
119,0.4,12.0907,11.6603,0.430403,12.2982,0.637904,-0.207502
