S,siggma,T,P,Q,diferenciasfinitas,blackscholes,ejerciciotempranodf,tilley,ejerciciotempranotilley,dftilley
50,0.2,1,100,100,50,45.1253,4.87466,45.4523,0.326933,-4.54773
50,0.2,1,50,200,50,45.1253,4.87466,45.4258,0.300445,-4.57421
50,0.2,1,25,400,50,45.1253,4.87466,45.738,0.612687,-4.26197
50,0.2,2,100,100,50,40.6068,9.39319,41.3755,0.768697,-8.6245
50,0.2,2,50,200,50,40.6068,9.39319,41.4216,0.814829,-8.57836
50,0.2,2,25,400,50,40.6068,9.39319,41.4507,0.843865,-8.54933
50,0.4,1,100,100,50,45.7431,4.25693,46.1695,0.426395,-3.83053
50,0.4,1,50,200,50,45.7431,4.25693,45.9877,0.244638,-4.01229
50,0.4,1,25,400,50,45.7431,4.25693,45.8378,0.0947569,-4.16217
50,0.4,2,100,100,50,43.298,6.70196,44.303,1.00498,-5.69699
50,0.4,2,50,200,50,43.298,6.70196,44.3775,1.07951,-5.62245
50,0.4,2,25,400,50,43.298,6.70196,43.861,0.562983,-6.13898
95,0.2,1,100,100,8.45098,7.63381,0.817167,7.63344,-0.000371537,-0.817538
95,0.2,1,50,200,8.45098,7.63381,0.817167,7.89715,0.263333,-0.553834
95,0.2,1,25,400,8.45098,7.63381,0.817167,7.72947,0.0956518,-0.721515
95,0.2,2,100,100,9.89007,8.32509,1.56498,8.46403,0.138939,-1.42604
95,0.2,2,50,200,9.89007,8.32509,1.56498,8.71843,0.39333,-1.17165
95,0.2,2,25,400,9.89007,8.32509,1.56498,8.58299,0.257894,-1.30708
95,0.4,1,100,100,15.7732,15.1306,0.642551,15.5495,0.418831,-0.22372
95,0.4,1,50,200,15.7732,15.1306,0.642551,15.1978,0.0671446,-0.575406
95,0.4,1,25,400,15.7732,15.1306,0.642551,15.3774,0.246717,-0.395834
95,0.4,2,100,100,19.8029,18.4702,1.33271,18.5691,0.0988668,-1.23384
95,0.4,2,50,200,19.8029,18.4702,1.33271,18.8828,0.41259,-0.92012
95,0.4,2,25,400,19.8029,18.4702,1.33271,18.3219,-0.14835,-1.48106
100,0.2,1,100,100,6.09035,5.57353,0.516824,5.57696,0.00343443,-0.51339
100,0.2,1,50,200,6.09035,5.57353,0.516824,5.67808,0.104552,-0.412272
100,0.2,1,25,400,6.09035,5.57353,0.516824,5.60183,0.0283064,-0.488518
100,0.2,2,100,100,7.72318,6.61052,1.11266,6.70487,0.0943519,-1.01831
100,0.2,2,50,200,7.72318,6.61052,1.11266,6.64938,0.0388596,-1.0738
100,0.2,2,25,400,7.72318,6.61052,1.11266,6.73833,0.127809,-0.984854
100,0.4,1,100,100,13.6652,13.1459,0.519264,13.1884,0.042507,-0.476757
100,0.4,1,50,200,13.6652,13.1459,0.519264,12.8806,-0.265256,-0.78452
100,0.4,1,25,400,13.6652,13.1459,0.519264,13.2116,0.0657113,-0.453553
100,0.4,2,100,100,17.882,16.774,1.10797,17.067,0.293004,-0.814966
100,0.4,2,50,200,17.882,16.774,1.10797,16.9198,0.145813,-0.962157
100,0.4,2,25,400,17.882,16.774,1.10797,17.1075,0.333534,-0.774435
105,0.2,1,100,100,4.30441,3.98085,0.323559,4.0218,0.0409539,-0.282605
105,0.2,1,50,200,4.30441,3.98085,0.323559,3.87871,-0.10214,-0.425699
105,0.2,1,25,400,4.30441,3.98085,0.323559,4.03152,0.0506685,-0.272891
105,0.2,2,100,100,5.99926,5.20777,0.791493,5.29399,0.0862204,-0.705273
105,0.2,2,50,200,5.99926,5.20777,0.791493,5.15032,-0.0574499,-0.848943
105,0.2,2,25,400,5.99926,5.20777,0.791493,5.37947,0.171705,-0.619789
105,0.4,1,100,100,11.8173,11.3976,0.419676,11.5255,0.127902,-0.291774
105,0.4,1,50,200,11.8173,11.3976,0.419676,11.7917,0.394092,-0.025584
105,0.4,1,25,400,11.8173,11.3976,0.419676,11.5438,0.146205,-0.273471
105,0.4,2,100,100,16.1444,15.2365,0.907952,15.321,0.0845679,-0.823384
105,0.4,2,50,200,16.1444,15.2365,0.907952,15.1849,-0.0516056,-0.959558
105,0.4,2,25,400,16.1444,15.2365,0.907952,15.5641,0.327662,-0.580291
150,0.2,1,100,100,0.0964431,0.0930826,0.00336055,0.0985335,0.00545093,0.00209038
150,0.2,1,50,200,0.0964431,0.0930826,0.00336055,0.0999059,0.00682332,0.00346278
150,0.2,1,25,400,0.0964431,0.0930826,0.00336055,0.0967828,0.00370021,0.00033966
150,0.2,2,100,100,0.519217,0.48222,0.0369969,0.47907,-0.00314994,-0.0401468
150,0.2,2,50,200,0.519217,0.48222,0.0369969,0.511,0.0287801,-0.00821678
150,0.2,2,25,400,0.519217,0.48222,0.0369969,0.454029,-0.0281906,-0.0651875
150,0.4,1,100,100,2.97677,2.99579,-0.0190117,3.04737,0.0515866,0.0705983
150,0.4,1,50,200,2.97677,2.99579,-0.0190117,3.07355,0.0777638,0.0967755
150,0.4,1,25,400,2.97677,2.99579,-0.0190117,2.88374,-0.11205,-0.093038
150,0.4,2,100,100,6.00398,6.5358,-0.53182,6.33823,-0.197575,0.334245
150,0.4,2,50,200,6.00398,6.5358,-0.53182,6.44993,-0.0858706,0.445949
150,0.4,2,25,400,6.00398,6.5358,-0.53182,6.61298,0.0771757,0.608995
